lesson,action,standard_code,new_rank,ccss_target,justification
G1M2U3L12,dropped,1.P.EICC.2.e,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U3L12,dropped,1.T.T.1.e,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U3L13,added,1.L.V.1.a,6,L.1.6,GA: 'Acquire and apply...vocabulary...through grade-level texts' = CCSS L.1.6's acquisition-through-reading target.
G1M2U3L13,added,1.L.V.1.b,7,L.1.6,GA: 'Use grade-level...vocabulary...to communicate' = CCSS L.1.6's application/communication target.
G1M2U3L13,dropped,1.P.AC.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U3L13,dropped,1.T.SS.1.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U3L2,added,1.P.CP.2.a,6,SL.1.4,"GA: 'Communicate clearly to present ideas, information, and texts' = CCSS SL.1.4's clear-description target."
G1M2U3L2,dropped,1.P.AC.1.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U3L4,added,1.L.GC.2.a,6,L.1.1j,"GA: 'Distinguish...sentence type (declarative, imperative, interrogative, exclamatory)' = CCSS L.1.1j's sentence-type coverage."
G1M2U3L4,added,1.L.GC.1.13,7,L.1.2b,"GA: 'Use periods, exclamation marks, and question marks at the end of sentences' = CCSS L.1.2b verbatim."
G1M2U3L4,added,1.P.CP.2.a,8,SL.1.4,"GA: 'Communicate clearly to present ideas, information, and texts' = CCSS SL.1.4's clear-description target."
G1M2U3L4,added,1.T.RA.1.b,9,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U3L4,dropped,1.P.EICC.1.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 47)
G1M2U3L4,dropped,1.T.SS.2.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U3L4,dropped,1.P.AC.3.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U3L4,dropped,1.P.EICC.3.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U3L5,added,1.L.GC.1.13,6,L.1.2b,"GA: 'Use periods, exclamation marks, and question marks at the end of sentences' = CCSS L.1.2b verbatim."
G1M2U3L5,added,1.P.CP.2.a,7,SL.1.4,"GA: 'Communicate clearly to present ideas, information, and texts' = CCSS SL.1.4's clear-description target."
G1M2U3L5,added,1.T.RA.1.b,8,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U3L5,dropped,1.P.AC.2.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U3L5,dropped,1.P.AC.2.a,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U3L5,dropped,1.P.EICC.2.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U3L6,added,1.P.CP.2.a,6,SL.1.4,"GA: 'Communicate clearly to present ideas, information, and texts' = CCSS SL.1.4's clear-description target."
G1M2U3L6,dropped,1.P.EICC.2.e,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U3L7,added,1.L.GC.1.8,6,L.1.1f,GA: 'Use adjectives and adverbs' = CCSS L.1.1f (adjectives; GA bundles adverbs in).
G1M2U3L7,added,1.P.CP.2.a,7,SL.1.4,"GA: 'Communicate clearly to present ideas, information, and texts' = CCSS SL.1.4's clear-description target."
G1M2U3L7,added,1.T.T.1.e,8,W.1.3,GA: 'Use knowledge of narrative techniques...to create texts that share real or imagined experiences...with a sense of closure' = CCSS W.1.3 verbatim.
G1M2U3L7,dropped,1.P.ST.2.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U3L7,dropped,1.T.T.2.d,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U3L7,dropped,1.P.AC.2.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U3L8,added,1.P.CP.2.a,6,SL.1.4,"GA: 'Communicate clearly to present ideas, information, and texts' = CCSS SL.1.4's clear-description target."
G1M2U3L8,added,1.T.RA.1.b,7,W.1.8,GA: 'Work...to conduct research...by gathering and organizing information from provided sources' = CCSS W.1.8's gather-information-to-answer-a-question target.
G1M2U3L8,dropped,1.P.EICC.1.f,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U3L8,dropped,1.P.EICC.3.e,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
G1M2U3L9,added,1.L.GC.1.8,6,L.1.1f,GA: 'Use adjectives and adverbs' = CCSS L.1.1f (adjectives; GA bundles adverbs in).
G1M2U3L9,added,1.L.GC.2.a,7,L.1.1j,"GA: 'Distinguish...sentence type (declarative, imperative, interrogative, exclamatory)' = CCSS L.1.1j's sentence-type coverage."
G1M2U3L9,added,1.P.CP.2.a,8,SL.1.4,"GA: 'Communicate clearly to present ideas, information, and texts' = CCSS SL.1.4's clear-description target."
G1M2U3L9,dropped,1.P.AC.2.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 48)
G1M2U3L9,dropped,1.T.T.4.b,,,lowest-confidence row(s) removed to hold list at 50 (was rank 49)
G1M2U3L9,dropped,1.P.EICC.3.c,,,lowest-confidence row(s) removed to hold list at 50 (was rank 50)
