Lesson,Lesson ID,Standard,Alignment,Confidence,Evidence from the lesson,Page,Why this alignment,Standard text
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.CP.2.d,Partial,High,'What does the boy experience when the sun is setting?' (The boy is reading a book with his dad and getting ready for bed.),103,"Students engage in dialogue and answer questions throughout the lesson via Think-Pair-Share and turn-and-talk protocols. However, students never generate their own questions—all questions are teacher-posed. Since ""ask"" and ""answer"" are independent verbs that must both be met for full alignment, and only ""answer"" is met, the status is partial.",Engage in dialogue with audiences by asking and answering questions. (I/C)
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.ST.1.a,Partial,Medium,'What time of day do you think the end of the story takes place?' (at the end of the day),99,"Students use prior knowledge and discuss with others to identify context (time of day, what the boy and sun do), meeting two of the three clauses. However, there is no formal or informal research activity in the lesson. Since the standard lists three methods joined by commas and ""and,"" and one (research) is entirely absent, the match is partial.","Use prior knowledge, formal or informal research, and discussions with others to identify the key components of context that are most relevant. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.L.V.3.d,None,High,,,The lesson does not show students using picture dictionaries or digital resources to clarify word meanings. Vocabulary work is done through teacher-led discussion and context analysis.,"With teacher support, use a picture dictionary or digital resource to clarify the meaning of unknown words and phrases. (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.T.T.2.b,Full,High,'What time of day do you think the end of the story takes place?' (at the end of the day),99,"Students describe connections between individuals (boy and sun), events (activities throughout the day), ideas (sun movement and daily routines), and information (time of day and sun position). The interchangeable object list is satisfied.","Describe the connection between two individuals, events, ideas, or pieces of information in a text. (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.CP.2.a,Full,High,'What does the boy experience when the sun is setting?' (The boy is reading a book with his dad and getting ready for bed.),103,"Students communicate clearly to present ideas, information, and understanding of texts through multiple discussion protocols and role-play. The interchangeable object list is satisfied.","Communicate clearly to present ideas, information, and texts. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.T.T.1.e,Partial,Medium,Remind students to think about the parts they acted out for the ending of the story when completing today's writing task.,102,"Students write and draw about ending events of Summer Sun Risin' on a response sheet, which involves knowledge of characters and events. However, the task is a retelling response rather than creating a narrative text using narrative techniques. Students are not explicitly guided to incorporate setting into their writing, nor are they taught or asked to provide a sense of closure. Since some clauses (characters, events, sharing experiences) are met but others (settings, closure) are not, the match is partial.","Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.EICC.2.d,Partial,Low,Remind students to think about the parts they acted out for the ending of the story when completing today's writing task.,102,"The standard asks students to interpret AND construct texts to aid the analysis and evaluation of texts and ideas. Students do interpret the literary text through discussion and role-play, and they construct a written/drawn response. However, the standard's core purpose—using constructed texts as tools to aid analysis and evaluation—is only partially addressed. The response sheet captures understanding of events but is not clearly used as an analytical or evaluative tool. Two of three clauses are met, yielding partial.",Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.T.T.2.a,None,High,,,This standard requires working with expository texts. Summer Sun Risin' is a narrative/literature text. There is a hard gate mismatch between the required text type and the lesson content.,"Identify techniques used to craft expository texts, including main topic and supporting details. (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.EICC.3.d,Partial,Medium,Remind students to think about the parts they acted out for the ending of the story when completing today's writing task.,102,"Students summarize ending events through discussion (""What happened at the end of the story?"") and by writing about them on the response sheet using the sentence frame ""At the end…"". Students visualize by role-playing (acting out) sections of the text and by drawing about the ending events. However, the standard specifically targets summarizing and visualizing as comprehension strategies to ""maintain understanding,"" and while the lesson has students retell/describe ending events and draw/act them out, the lesson does not explicitly frame these as summarizing or visualizing strategies for comprehension monitoring. The acts are present but the strategic framing is implicit rather than explicit. Both clauses are met in core steps, so this warrants full alignment.",Summarize and visualize sections of the text to maintain understanding. (I)
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.T.T.1.c,None,High,,,"Students describe what the boy does (actions) but do not describe character traits or explain how words/actions support the central message, lesson, or moral. The focus is on retelling events, not analyzing how they support the story's message.","Describe traits of the main characters and explain how their words and actions support the central message, lesson, or moral of the story. (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.T.T.1.a,Partial,High,'What happened at the end of the story?' (The boy reads a book with his dad and goes to sleep.),102,"Students identify characters (the boy, the sun, Pa) and major events (ending events through discussion, role-play, and writing/drawing). However, students do not identify the story's setting as a story element—'setting' is only defined as 'moving down' in the context of sunset. Dialogue is also never identified by students. Since two of the four complementary story-craft components are unmet, the match is partial.","Identify techniques used to craft stories, including characters, setting, major events, and dialogue. (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.EICC.2.c,Partial,Medium,Remind students to think about the parts they acted out for the ending of the story when completing today's writing task.,102,"Students interpret the literary text through close read-aloud discussions, role-playing, and answering comprehension questions, meeting the ""explain concepts by interpreting texts"" clause. Students also construct a text (written response sheet with drawing and writing about ending events), meeting the ""learn concepts by constructing texts"" clause. Both clauses are met in core steps, supporting a full match. However, the standard's language about ""explain and learn concepts and processes"" is broad, and the lesson focuses on describing story events rather than explaining abstract concepts or processes, which introduces some uncertainty. On reflection, the students do explain what happens in the story (a form of explaining concepts from the text) and construct a written response to demonstrate understanding, so both clauses are met in core. Revising to full.",Explain and learn concepts and processes by interpreting and constructing texts. (I/C)
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.EICC.3.e,Partial,High,'Where do you think the sun will be at the end of the story?' (at one corner of the page),99,"Students make predictions before reading (e.g., predicting where the sun will be at the end of the story), satisfying the ""make"" clause. However, there is no explicit step where students track, revisit, confirm, or revise those predictions during or after reading, so the ""track"" clause is unmet. Since ""make"" and ""track"" are independent verbs, this results in partial alignment.",Make and track predictions about the events and information likely to come next. (I)
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.EICC.3.f,Partial,Medium,'What time of day do you think the end of the story takes place?' (at the end of the day),99,"Students make inferences in core steps (predicting time of day and sun position) and in scaffold steps (interpreting verse meaning). However, there is no mechanism for tracking inferences as reading progresses, and supporting inferences with textual evidence appears only in a scaffold step. With only one of three independent verbs met in core, the result is partial.","Make, track, and support inferences about different levels of meaning within the text. (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.T.RA.2.a,Partial,Medium,Remind students to think about the parts they acted out for the ending of the story when completing today's writing task.,102,"The standard requires students to refer to parts of texts when supporting an idea, answer, or opinion (these are interchangeable per the OR/object-list rule). Students answer text-dependent questions in core steps (e.g., ""What happened at the end of the story?"" and ""What does the boy experience when the sun is setting?"") and are reminded to think about parts they acted out when writing. However, the lesson does not explicitly require students to cite or point to specific parts of the text to support their responses — students answer from memory/discussion rather than being directed to refer back to the text. The closest evidence is the instruction to ""think about the parts they acted out,"" which implicitly references the text. This is borderline but meets the threshold for partial alignment since students do draw on text content to support answers, though explicit text-referencing is weak in core steps.","Refer to parts of texts when supporting an idea, answer, or opinion. (I)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.CP.1.c,Partial,Medium,'What did it look and sound like when you were showing respect during the Role-Play protocol?',101,"Students contribute ideas in discussions (Think-Pair-Share, turn and talk) and participate in a shared project (Role-Play protocol). Listening is supported by prompts like ""Who can repeat what your classmate said?"" However, there is no step where students provide feedback to peers—all feedback in the lesson flows from teacher to students. Since ""provide feedback"" is an independent verb requirement that is unmet, the match is partial.","Contribute to discussions and shared projects by offering ideas, listening to the ideas of others, and providing feedback. (I/C)"
"Grade 1 Module 2, Unit 1, Lesson 6",G1M2U1L6,1.P.ST.1.c,None,High,,,"The standard requires students to explore how context shapes the author's decisions and the audience's responses during interpretation and construction of texts. The lesson focuses on describing story events (what the boy and sun do), role-playing events, and writing/drawing about ending events. Students never examine how context (cultural, historical, social) influences the author's choices or how context shapes audience responses. There is topic overlap with a literary text but no student activity addressing the standard's requirements.",Explore how context shapes the author’s decisions and the audience’s responses during the interpretation and construction of texts. (I/C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.T.4.a,None,High,,,"Students look and listen for high-quality writing in the poem and discuss what they noticed, but they do not identify or describe specific poetic techniques such as rhyme, alliteration, or repeated lines. The focus is on general high-quality writing features, not the specific techniques required by this standard.","Identify and describe poetic techniques used to craft texts, including rhyme, alliteration, and repeated lines. (I)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.T.1.e,Partial,Medium,Explain that the closing is a sentence to end the poem. It should tell the reader that night is coming to an end.,389,"Students independently write verse 3 and a closing for a narrative poem (""What the Moon Sees""), demonstrating use of settings, events, imagined experiences, and closure. However, there is no clear evidence that students use knowledge of characters as a narrative technique in their writing. Since the standard lists characters, settings, and events as complementary story-craft components, the missing character element makes this partial rather than full.","Use knowledge of narrative techniques (e.g., characters, settings, events) to create texts that share real or imagined experiences and events with a sense of closure. (C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.T.4.b,Full,High,Tell students that now they will write their own version of verse 3 and the closing independently on the 'What the Moon Sees' poem verse 3.,390,"Students use poetic techniques from the model 'What the Moon Sees' poem to create their own verse 3 using simple words and phrases. The standard allows for poems that may or may not rhyme, and all clauses are met through the independent writing activity.",Use poetic techniques to create poems using simple words and/or phrases that may or may not rhyme. (C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.CP.2.e,None,High,,,"The teacher reads the poem aloud to students, but students do not recite the poem or any speeches themselves. Teacher read-aloud does not meet the student act of reciting.",Build background knowledge by reciting all or part of significant poems and speeches as appropriate by grade level. (I/C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.SS.2.b,Full,High,"As students write, circulate and provide guidance by referring students to look at verses 1 and 2, the Time of Night anchor chart, the Adjectives anchor chart, the Sun, Moon, and Stars Word Wall, etc.",390,"Students use descriptive words (adjectives) from anchor charts to craft their poem verse 3, making their writing engaging. Both clauses are met through the planning and writing activities.",Use descriptive words to craft engaging texts. (C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.EICC.4.e,Full,High,Tell students that now they will write their own version of verse 3 and the closing independently on the 'What the Moon Sees' poem verse 3.,390,"Students construct an initial draft of verse 3 by integrating ideas from their planner, selecting words and phrases from anchor charts, incorporating poetic craft techniques from the model, and creating a poem with a specific purpose (narrative poem about what the moon sees) and closure. All clauses are met.","Construct an initial draft by integrating ideas and information; selecting words, phrases, and sentences; and incorporating craft techniques that will best achieve the purpose of the text and resonate with the target audience. (C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.AC.2.b,None,High,,,"This standard requires crafting words and phrases to influence the audience's responses, thoughts, decisions, and questions. Students are writing a narrative poem to share imagined experiences, not to influence or persuade the audience. The purpose does not align with this standard.","Craft words and phrases in order to influence the responses, thoughts, decisions, and questions of the target audience and achieve a specific purpose. (I/C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.T.3.a,None,High,,,"This standard requires identifying techniques in opinion texts. The lesson focuses on a narrative poem, not opinion texts. There is no work with author's opinion or supporting reasons.","Identify techniques used to craft opinion texts, including the author’s opinion and supporting reasons. (I)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.L.GC.2.b,Full,High,"Give students specific, positive feedback on their ability to turn their ideas from the verse planner into complete sentences on the 'What the Moon Sees' poem verse 3.",391,"Students write verse 3 using complete sentences, turning their planner ideas into clear written text. The feedback confirms they are using simple sentences to develop clarity in their writing.",Use a variety of simple sentences (including a variety of sentence types) to develop clarity in written texts. (C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.EICC.1.d,Full,High,"As students write, circulate and provide guidance by referring students to look at verses 1 and 2, the Time of Night anchor chart, the Adjectives anchor chart, the Sun, Moon, and Stars Word Wall, etc.",390,"Students build and draw from comprehension skills (analyzing high-quality writing in the model poem) and composition skills (using planners, anchor charts, and model verses) to interpret the model text and construct their own verse 3. All clauses are met.","Build a repertoire of comprehension and composition skills, strategies, and techniques, drawing from them as needed to aid the interpretation and construction of texts. (I/C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.L.V.2.c,None,High,,,"This standard requires students to construct words by combining root words with inflectional endings. The lesson focuses on writing a narrative poem using descriptive words, not on word construction with roots and endings.",Construct words using frequently occurring roots words and inflectional endings. (C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.EICC.2.d,None,Low,"Tell students that in the previous lesson, they analyzed these verses for evidence of highquality writing.",389,"Students interpret the model poem to understand high-quality writing ideas, construct their own verse 3 applying this analysis, and use the model text and anchor charts to analyze and evaluate writing quality. All clauses are met. [REJECTED: evidence missing or not found in lesson raw text]",Interpret and construct texts to aid the analysis and evaluation of texts and ideas. (I/C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.L.GC.1.10,Partial,Medium,Answer clarifying questions and invite students to begin writing.,390,"Students write poetry independently and engage in peer feedback, which involves incidental use of verb tenses. However, the lesson never explicitly teaches, practices, or focuses on forming or using simple verb tenses. The standard requires intentional work with verb tenses, not merely writing that happens to contain verbs. At best, one clause (use) is marginally met through the writing activity, but forming verb tenses is not addressed at all.",Form and use the simple verb tenses. (Continue)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.L.V.3.e,Full,High,"As students write, circulate and provide guidance by referring students to look at verses 1 and 2, the Time of Night anchor chart, the Adjectives anchor chart, the Sun, Moon, and Stars Word Wall, etc.",390,"Students use knowledge of word relationships (from anchor charts showing adjectives and related words) and learned vocabulary (from the Sun, Moon, and Stars Word Wall) when making word choices in their writing. Both clauses are met.",Use knowledge of word relationships and learned vocabulary words and phrases when making word choices in speaking and writing. (C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.T.3.c,None,High,,,"This standard requires creating opinion pieces with specific components. Students write a narrative poem, not an opinion piece. None of the required clauses for opinion writing are met.","Use knowledge of opinion techniques to create opinion pieces that introduce the topic, state an opinion about the topic, and provides two or more reasons to support the opinion with linking words and and because. (C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.C.1.c,Full,High,Tell students that now they will write their own version of verse 3 and the closing independently on the 'What the Moon Sees' poem verse 3.,390,"Students independently write their own verse 3 and closing of a narrative poem in print mode (pencil and paper), which constitutes creating a text in a teacher-selected mode. The standard uses ""e.g."" to list modes, meaning any one mode satisfies the requirement. This is a core, untagged step where students perform the act of creating text.","Create texts in teacher-selected modes (e.g., print, digital, auditory, and/or visual). (C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.EICC.2.a,Partial,Medium,Tell students that now they will write their own version of verse 3 and the closing independently on the 'What the Moon Sees' poem verse 3.,390,"The standard requires sharing real OR imagined experiences by interpreting and constructing texts that tell or include stories. The skill_clauses list three items, but the standard text uses ""real or imagined"" as an OR construction (object list with same verb), meaning either real or imagined suffices. Students write an imagined narrative poem (constructing texts) and interpret the model poem. However, re-reading the skill_clauses: they are listed as three separate clauses. The first two share the same verb pattern with ""real"" vs ""imagined"" — these are interchangeable (OR in the standard text). The third clause (interpret) is also met. Since the standard says ""interpreting AND constructing,"" both verbs apply. Students both interpret (analyze the model poem) and construct (write verse 3). All required acts are met. Actually, reconsidering: the standard says ""real or imagined"" — this is an OR, so meeting imagined suffices. Students construct (write verse 3) and interpret (analyze the poem). Both independent verbs are met. This should be full.",Share real or imagined experiences by interpreting and constructing texts that tell or include stories. (I/C)
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.T.2.a,None,High,,,"This standard requires identifying techniques in expository texts. The lesson focuses on a narrative poem, not expository texts. None of the clauses are met.","Identify techniques used to craft expository texts, including main topic and supporting details. (I)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.T.2.d,None,High,,,"This standard requires using expository writing techniques to introduce a topic, supply facts, and provide closure. Students write a narrative poem about imagined experiences, not an expository text with facts. None of the clauses are met.","Use knowledge of expository techniques to introduce a topic, supply facts about the topic, and provide a sense of closure. (C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.L.V.1.b,Full,High,"As students write, circulate and provide guidance by referring students to look at verses 1 and 2, the Time of Night anchor chart, the Adjectives anchor chart, the Sun, Moon, and Stars Word Wall, etc.",390,"Students use grade-level general, academic, and specialized vocabulary from anchor charts and word walls to communicate in their writing. The standard treats these as interchangeable targets (any one satisfies), and students use all three types. All clauses are met.","Use grade-level general, academic, and specialized vocabulary words and phrases to communicate in a variety of settings. (C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.T.SS.1.c,None,High,,,"The lesson focuses on writing a narrative poem verse and providing peer feedback. There is no step where students are directed to use transition words or phrases (e.g., ""once upon a time,"" ""next,"" ""last"") to sequence events or actions. The standard's skill is not addressed in any core or scaffold step.","Use transition words or phrases, such as once upon a time, next, and last to sequence events and actions. (C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.AC.3.a,None,Low,"Tell students that in the previous lesson, they analyzed these verses for evidence of highquality writing.",389,"Students explore the model poem to understand how specific features create high-quality writing, and they create their own narrative poem verse applying this knowledge. Both clauses are met. [REJECTED: evidence missing or not found in lesson raw text]","Explore and create texts in various modes and genres, developing and applying knowledge of how specific features impact meaning, tone, style, purpose, and audience. (I/C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.AC.3.d,None,Low,,,"The standard requires consuming and producing multimodal texts that integrate a variety of genres, text features, and craft techniques to influence audiences and achieve purposes. This lesson involves reading/listening to a single poem and writing a verse of that poem—a single-genre, single-mode activity. While students do produce writing and engage in peer feedback, there is no multimodal integration (combining different media/modes), no variety of genres, and no purposeful audience influence. None of the three clauses are met. [REJECTED: evidence missing or not found in lesson raw text]","Consume and produce multimodal texts, integrating a variety of genres, text features, and craft techniques to influence target audiences and achieve specific purposes. (I/C)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.L.V.1.a,Full,High,"As students write, circulate and provide guidance by referring students to look at verses 1 and 2, the Time of Night anchor chart, the Adjectives anchor chart, the Sun, Moon, and Stars Word Wall, etc.",390,"Students acquire vocabulary from grade-level texts (the model poem) and content resources (anchor charts and word walls), and they apply this vocabulary in their writing. Both clauses are met.","Acquire and apply general, academic, and specialized vocabulary words and phrases through grade-level texts and content. (I)"
"Grade 1 Module 2, Unit 3, Lesson 5",G1M2U3L5,1.P.EICC.3.d,None,High,,,"This standard requires students to summarize or visualize sections of text to maintain understanding. While students read and analyze the model poem, they do not summarize or create visual representations of text sections. Neither clause is met.",Summarize and visualize sections of the text to maintain understanding. (I)
